prompt,count
"I am aware of my strengths and skills, which have helped me on my path to where I am today. I feel grateful for…",1
"I think of the people who are important to me. These people are my family and/or my friends. I reflect on how they affect my life and how I feel when I spend time with them. With these thoughts in mind, I am grateful for…",1
"I think of the home that I live in, and I reflect on how it provides my family and me with a safe, secure, stable place for us to live. I feel grateful for…",1
"I think of the work that I perform in my career or at home. I reflect on how it affects my life, including my physical and emotional wellbeing. With these thoughts in mind, I feel grateful for…",1
"I think of the area where I live. I think of the shops where we buy food, the people we have met, and the experiences we have had. I feel grateful for…",1
Name three actions that made you feel loved today.,1
Name three things that challenged you today.,1
Name three events that made you feel productive today.,1
Name three urges that you resisted today.,1
Name three thoughts that made you smile today.,1
Name three things that you learned today.,1
Name three experiences that made you feel brave today.,1
Name three beautiful things that you heard today.,1
Name three beautiful things that you saw today.,1
What am I looking forward to today?,1
What might challenge me today?,1
What positive things happened today?,1
What will I do if I feel anxious/stressed/worried today?,1
What’s one thing you’re grateful for today?,1
What do you need most right now?,1
What am I grateful for today?,1
"What, if anything, went wrong today?",1
What will I do differently tomorrow?,1
What’s one moment from today (or yesterday) that made you smile?,1
What’s one thing you want to carry into tomorrow?,1
What’s one thing you can let go of today?,1
How would you spend your perfect day off? What makes that perfect for you?,1
Describe yourself in ten words. Why do those words come to mind?,1
What is your favorite form of self-care? Why?,1
What makes you feel the most inspired?,1
