prompt,source url,query,published_time,modified_time,author,cluster
"I am aware of my strengths and skills, which have helped me on my path to where I am today. I feel grateful for…",https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08,2025-06-11,"Alicia Nortje, Ph.D.",2
"I think of the people who are important to me. These people are my family and/or my friends. I reflect on how they affect my life and how I feel when I spend time with them. With these thoughts in mind, I am grateful for…",https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08,2025-06-11,"Alicia Nortje, Ph.D.",1
"I think of the home that I live in, and I reflect on how it provides my family and me with a safe, secure, stable place for us to live. I feel grateful for…",https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08,2025-06-11,"Alicia Nortje, Ph.D.",3
"I think of the work that I perform in my career or at home. I reflect on how it affects my life, including my physical and emotional wellbeing. With these thoughts in mind, I feel grateful for…",https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08,2025-06-11,"Alicia Nortje, Ph.D.",1
"I think of the area where I live. I think of the shops where we buy food, the people we have met, and the experiences we have had. I feel grateful for…",https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08,2025-06-11,"Alicia Nortje, Ph.D.",3
Name three actions that made you feel loved today.,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08,2025-06-11,"Alicia Nortje, Ph.D.",2
Name three things that challenged you today.,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08,2025-06-11,"Alicia Nortje, Ph.D.",5
Name three events that made you feel productive today.,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08,2025-06-11,"Alicia Nortje, Ph.D.",2
Name three urges that you resisted today.,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08,2025-06-11,"Alicia Nortje, Ph.D.",2
Name three thoughts that made you smile today.,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08,2025-06-11,"Alicia Nortje, Ph.D.",2
Name three things that you learned today.,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08,2025-06-11,"Alicia Nortje, Ph.D.",5
Name three experiences that made you feel brave today.,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08,2025-06-11,"Alicia Nortje, Ph.D.",2
Name three beautiful things that you heard today.,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08,2025-06-11,"Alicia Nortje, Ph.D.",5
Name three beautiful things that you saw today.,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08,2025-06-11,"Alicia Nortje, Ph.D.",5
What am I looking forward to today?,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08,2025-06-11,"Alicia Nortje, Ph.D.",2
What might challenge me today?,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08,2025-06-11,"Alicia Nortje, Ph.D.",2
What positive things happened today?,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08,2025-06-11,"Alicia Nortje, Ph.D.",5
What will I do if I feel anxious/stressed/worried today?,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08,2025-06-11,"Alicia Nortje, Ph.D.",2
What’s one thing you’re grateful for today?,https://reia.store/blogs/journal/5-minute-mindfulness-journal-prompts-to-feel-refreshed-and-grounded?srsltid=AfmBOorQrBUeyjc0CNOCTWguMfRxnsdp0ITaSxqqCbRopj4tmJyHV0cZ,mindfulness journaling prompts,2024-12-05,2024-12-05,Monica Hide,2
What do you need most right now?,https://reia.store/blogs/journal/5-minute-mindfulness-journal-prompts-to-feel-refreshed-and-grounded?srsltid=AfmBOorQrBUeyjc0CNOCTWguMfRxnsdp0ITaSxqqCbRopj4tmJyHV0cZ,mindfulness journaling prompts,2024-12-05,2024-12-05,Monica Hide,1
What am I grateful for today?,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08,2025-06-11,"Alicia Nortje, Ph.D.",2
"What, if anything, went wrong today?",https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08,2025-06-11,"Alicia Nortje, Ph.D.",2
What will I do differently tomorrow?,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08,2025-06-11,"Alicia Nortje, Ph.D.",1
What’s one moment from today (or yesterday) that made you smile?,https://reia.store/blogs/journal/5-minute-mindfulness-journal-prompts-to-feel-refreshed-and-grounded?srsltid=AfmBOorQrBUeyjc0CNOCTWguMfRxnsdp0ITaSxqqCbRopj4tmJyHV0cZ,mindfulness journaling prompts,2024-12-05,2024-12-05,Monica Hide,2
What’s one thing you want to carry into tomorrow?,https://reia.store/blogs/journal/5-minute-mindfulness-journal-prompts-to-feel-refreshed-and-grounded?srsltid=AfmBOorQrBUeyjc0CNOCTWguMfRxnsdp0ITaSxqqCbRopj4tmJyHV0cZ,mindfulness journaling prompts,2024-12-05,2024-12-05,Monica Hide,1
What’s one thing you can let go of today?,https://reia.store/blogs/journal/5-minute-mindfulness-journal-prompts-to-feel-refreshed-and-grounded?srsltid=AfmBOorQrBUeyjc0CNOCTWguMfRxnsdp0ITaSxqqCbRopj4tmJyHV0cZ,mindfulness journaling prompts,2024-12-05,2024-12-05,Monica Hide,2
How would you spend your perfect day off? What makes that perfect for you?,https://mindfulhealthsolutions.com/20-journaling-prompts-for-mental-health/,mindfulness journaling prompts,2024-06-07,,wadmin,1
Describe yourself in ten words. Why do those words come to mind?,https://mindfulhealthsolutions.com/20-journaling-prompts-for-mental-health/,mindfulness journaling prompts,2024-06-07,,wadmin,1
What is your favorite form of self-care? Why?,https://mindfulhealthsolutions.com/20-journaling-prompts-for-mental-health/,mindfulness journaling prompts,2024-06-07,,wadmin,0
What makes you feel the most inspired?,https://mindfulhealthsolutions.com/20-journaling-prompts-for-mental-health/,mindfulness journaling prompts,2024-06-07,,wadmin,4
What can you do today to take better care of yourself?,https://mindfulhealthsolutions.com/20-journaling-prompts-for-mental-health/,mindfulness journaling prompts,2024-06-07,,wadmin,2
